5	21166
160	208
24	125
64	41
9	166
9	166
9	125
1	41
8	125
5	125
17	500
1	41
8	83
4	83
1	83
8	83
4	41
1	41
8	83
5	41
1	83
8	83
5	41
1	41
8	41
5	41
20	83
3	83
1	83
8	41
5	41
3	125
20	166
48	83
48	125
9	83
12	125
9	125
12	166
1	41
8	41
4	83
1	41
8	83
4	0
64	333
88	83
10	41
1	0
8	41
4	83
1	41
8	83
6	41
1	41
8	83
4	41
20	41
18	41
18	41
36	83
32	41
1	41
8	83
35	41
36	41
1	83
8	41
4	41
1	41
8	83
4	41
1	0
8	83
4	0
1	41
8	41
4	41
20	41
12	83
24	41
15	41
20	41
12	41
24	41
15	41
20	41
20	41
1	41
8	41
16	41
32	41
29	41
1	41
8	41
4	41
1	41
8	41
4	41
20	83
1	41
8	41
16	41
32	41
18	83
20	41
1	41
8	41
16	41
17	83
20	41
1	83
8	83
16	41
20	41
20	41
18	41
18	41
36	41
32	41
32	41
64	41
49	41
1	83
8	83
5	0
1	41
8	83
5	41
1	41
8	83
5	41
1	41
8	41
5	0
1	41
8	41
5	41
1	41
8	83
5	41
1	41
8	83
5	41
1	41
8	41
5	41
1	41
8	83
5	0
1	41
8	83
5	41
1	41
8	41
5	41
1	41
8	83
5	41
1	41
8	41
5	41
1	41
8	41
5	41
1	41
8	83
5	41
1	0
8	83
5	0
1	41
8	41
5	41
1	41
8	41
5	41
1	41
8	41
5	41
1	0
8	83
5	41
1	41
8	41
5	41
1	41
8	83
5	41
1	41
8	41
5	41
11	41
3	83
11	41
2	83
18	41
11	83
11	83
11	125
11	83
200	250
72	291
64	41
20	83
1	83
8	41
4	41
1	41
8	83
6	41
1	41
8	83
5	0
1	0
8	83
5	0
1	41
8	0
5	41
1	41
8	83
5	0
1	41
8	83
5	0
1	41
8	41
5	0
1	41
8	41
5	41
1	41
8	83
5	41
1	41
8	41
5	41
1	41
8	83
5	41
1	41
8	41
5	41
1	41
8	41
5	41
1	41
8	41
6	41
1	41
8	41
5	0
1	41
8	41
5	0
1	41
8	83
5	0
1	41
8	41
5	41
1	41
8	83
5	41
11	41
3	125
11	41
